reference_svt,reference_rs,notes,image_index,designation,quantite_achat,quantite_stock,confidence,product_url,image_url,image_candidate_count,last_scraped_index,image_source,fournisseur,stable_image_url
030059,FAU48-0.5-25M-BLANC,,0,"Cordon Mâle 5, M12, Droit vers  Mâle vers Câble spirale Molex, 10 m",1 paquet de 8 unités,,,https://fr.rs-online.com/web/p/cables-pour-capteurs-et-d-actionneur-actionneurs/0480525,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/Y0480525-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/030059__FAU48-0.5-25M-BLANC.jpg
030055,FAU48-0.5-25M-BLEU,,0,"Cordon Mâle 5, M12, Droit vers  Mâle vers Câble spirale Molex, 10 m",1 paquet de 8 unités,,,https://fr.rs-online.com/web/p/cables-pour-capteurs-et-d-actionneur-actionneurs/0480525,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/Y0480525-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/030055__FAU48-0.5-25M-BLEU.jpg
030058,FAU48-0.5-25M-MARRON,,0,"Cordon Mâle 5, M12, Droit vers  Mâle vers Câble spirale Molex, 10 m",1 paquet de 8 unités,,,https://fr.rs-online.com/web/p/cables-pour-capteurs-et-d-actionneur-actionneurs/0480525,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/Y0480525-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/030058__FAU48-0.5-25M-MARRON.jpg
030056,FAU48-0.5-25M-ORAN,,0,"Cordon Mâle 5, M12, Droit vers  Mâle vers Câble spirale Molex, 10 m",1 paquet de 8 unités,,,https://fr.rs-online.com/web/p/cables-pour-capteurs-et-d-actionneur-actionneurs/0480525,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/Y0480525-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/030056__FAU48-0.5-25M-ORAN.jpg
030057,FAU48-0.5-25M-ROUGE,,0,"Cordon Mâle 5, M12, Droit vers  Mâle vers Câble spirale Molex, 10 m",1 paquet de 8 unités,,,https://fr.rs-online.com/web/p/cables-pour-capteurs-et-d-actionneur-actionneurs/0480525,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/Y0480525-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/030057__FAU48-0.5-25M-ROUGE.jpg
030038,5024327,,0,,,,,,,,,,,
030037,5024326,,0,,,,,,,,,,,
080000,,blank on sheet,0,,,,,,,,,,,
080001,,blank on sheet,0,,,,,,,,,,,
090001,5023029,,0,,,,,,,,,,,
